Identity	Male	Born_USA	Birth	Final	Alive	Films	Wins	Noms	FirstWin_Year	FirstNom_Year
1	1	Yes	1913	1969	0	4	0	0		
2	1	Yes	1921	2001	1	37	0	0		
3	1	Yes	1962	2001	1	38	0	0		
4	1	Yes	1929	2001	1	45	0	0		
5	1	Yes	1934	1986	0	8	0	1		1984
6	1	Yes	1890	1963	0	139	0	1		1931
7	0	Yes	1909	1978	0	16	0	0		
8	0	Yes	1906	1974	0	85	0	4		1942
9	1	No 	1899	1972	0	123	0	2		1936
10	1	Yes	1894	1972	0	29	0	0		
11	1	Yes	1927	1975	0	15	0	0		
12	1	Yes	1940	2001	1	31	1	8	1992	1972
13	1	Yes	1934	2001	1	62	0	2		1966
14	1	No 	1934	2001	1	58	0	1		1968
15	1	No 	1909	1961	0	24	0	0		
16	1	No 	1867	1952	0	38	0	1		1940
17	1	Yes	1947	2001	1	17	0	1		1987
18	1	No 	1936	2001	1	42	0	5		1963
19	1	No 	1914	2000	0	61	1	4	1957	1952
20	1	Yes	1878	1960	0	5	0	0		
21	1	No 	1907	1995	0	70	0	1		1944
22	0	No 	1939	2001	1	64	0	0		
23	1	No 	1916	1987	0	55	0	0		
24	1	No 	1904	1957	0	22	0	0		
25	0	Yes	1953	2001	1	41	0	1		1983
26	1	Yes	1892	1977	0	7	0	1		1932
27	0	Yes	1938	2001	1	20	0	1		1970
28	0	Yes	1892	1939	0	74	1	2	1937	1936
29	0	Yes	1926	2001	1	22	0	0		
30	0	Yes	1899	1991	0	44	0	1		1944
31	0	No 	1946	2001	1	19	0	0		
32	0	Yes	1888	1974	0	86	0	0		
33	0	Yes	1931	1989	0	21	0	0		
34	0	No 	1962	2001	1	19	0	0		
35	0	Yes	1957	2001	1	41	0	0		
36	0	Yes	1953	2001	1	27	0	1		1983
37	0	Yes	1951	2001	1	33	0	1		1985
38	0	Yes	1950	2001	1	30	0	0		
39	1	No 	1909	1978	0	52	0	0		
40	1	Yes	1962	2001	1	14	0	0		
41	0	Yes	1916	1974	0	35	0	0		
42	0	Yes	1914	1974	0	14	0	1		1937
43	1	No 	1907	1988	0	31	0	0		
44	1	No 	1956	2001	1	27	0	1		1988
45	0	Yes	1958	2001	1	28	0	1		1993
46	0	Yes	1923	1978	0	23	0	0		
47	0	No 	1925	2001	1	66	0	3		1944
48	0	Yes	1951	2001	1	41	1	3	1985	1982
49	0	Yes	1928	2001	1	33	0	1		1945
50	0	No 	1890	1961	0	14	0	0		
51	0	Yes	1914	2000	0	173	0	0		
52	0	Yes	1901	1981	0	41	0	1		1931
53	0	No 	1941	2001	1	48	0	2		1971
54	0	No 	1918	2001	1	18	0	0		
55	0	Yes	1891	1978	0	44	0	0		
56	0	Yes	1912	2001	0	79	0	1		1987
57	0	No 	1909	1993	0	69	0	0		
58	0	Yes	1899	1959	0	28	0	0		
59	0	No 	1907	1973	0	33	1	2	1955	1955
60	0	No 	1982	2001	1	5	1	1	1993	1993
61	0	Yes	1947	2001	1	39	0	1		1987
62	0	Yes	1931	2001	1	59	1	5	1962	1962
63	0	Yes	1923	1985	0	71	1	2	1946	1946
64	0	Yes	1930	2001	1	78	0	0		
65	0	Yes	1893	1971	0	54	0	0		
66	0	Yes	1928	1988	0	36	0	1		1987
67	0	Yes	1903	1990	0	42	1	3	1945	1943
68	0	Yes	1918	1993	0	53	0	1		1937
69	0	Yes	1958	2001	1	19	0	2		1990
70	0	No 	1932	2001	1	55	0	1		1966
71	1	Yes	1928	2001	1	67	0	1		1957
72	1	Yes	1927	1988	0	52	0	0		
73	1	No 	1937	2001	1	70	1	4	1991	1968
74	1	No 	1902	1977	0	38	0	0		
75	1	Yes	1932	1992	0	59	0	1		1956
76	1	No 	1913	1989	0	68	0	1		1969
77	1	No 	1916	2001	1	156	2	4	1952	1952
78	1	Yes	1909	1975	0	96	0	0		
79	1	Yes	1889	1964	0	32	0	0		
80	0	Yes	1939	2001	1	26	0	0		
81	1	No 	1930	2001	1	54	0	1		1996
82	1	Yes	1918	2001	1	108	1	1	1974	1974
83	1	Yes	1914	1985	0	11	0	0		
84	1	Yes	1911	1979	0	56	0	1		1952
85	1	Yes	1914	1990	0	81	0	5		1949
86	1	Yes	1908	1981	0	69	0	2		1955
87	1	Yes	1908	1983	0	113	0	0		
88	0	No 	1929	1993	0	30	1	5	1953	1953
89	0	Yes	1918	2001	1	47	0	0		
90	0	Yes	1922	1990	0	72	0	1		1953
91	0	No 	1923	1990	0	18	0	0		
92	1	Yes	1928	2001	1	16	0	0		
93	1	Yes	1949	2001	1	17	0	0		
94	0	Yes	1931	2001	1	31	0	1		1979
95	0	Yes	1927	1990	0	15	0	0		
96	0	Yes	1922	2001	1	15	0	1		1948
97	0	Yes	1922	2001	1	71	0	0		
98	0	Yes	1935	2001	1	29	0	1		1971
99	0	Yes	1948	2001	1	57	0	1		1969
100	0	Yes	1943	2001	1	4	0	0		
101	0	Yes	1909	1980	0	17	0	1		1937
102	0	No 	1947	2001	1	19	0	0		
103	0	Yes	1907	1990	0	95	0	4		1937
104	0	Yes	1942	2001	1	30	1	2	1968	1968
105	0	No 	1924	2001	1	7	0	0		
106	1	Yes	1934	2001	1	18	0	0		
107	1	No 	1888	1961	0	44	1	2	1944	1944
108	1	Yes	1894	1971	0	21	0	0		
109	1	Yes	1958	2001	1	16	0	0		
110	1	Yes	1920	2001	1	35	0	0		
111	1	Yes	1938	2001	1	45	0	0		
112	1	Yes	1912	1994	0	104	0	0		
113	1	Yes	1937	1996	0	36	0	0		
114	1	No 	1892	1967	0	103	0	2		1936
115	0	Yes	1926	2000	0	29	0	1		1967
116	0	Yes	1918	2001	1	26	1	1	1976	1976
117	0	Yes	1976	2001	1	1	0	0		
118	0	Yes	1891	1932	0	35	0	0		
119	1	Yes	1972	2001	1	12	0	0		
120	1	Yes	1918	1996	0	79	1	1	1971	1953
121	1	No 	1943	2001	1	37	1	2	1982	1982
122	1	Yes	1915	1989	0	47	0	0		
123	1	Yes	1900	1980	0	29	0	0		
124	1	Yes	1916	1987	0	55	0	0		
125	1	No 	1938	2001	1	15	0	0		
126	1	Yes	1891	1971	0	131	0	0		
127	0	Yes	1900	1984	0	166	0	0		
128	0	Yes	1898	1986	0	98	0	1		1929
129	0	Yes	1952	2001	1	6	0	0		
130	0	Yes	1923	2001	1	22	0	1		1955
131	0	Yes	1929	2001	1	19	0	0		
132	0	Yes	1908	1989	0	122	2	11	1935	1934
133	0	Yes	1945	2001	1	31	0	2		1979
134	0	Yes	1893	1972	0	90	0	0		
135	0	Yes	1897	1974	0	108	0	1		1929
136	0	Yes	1918	1973	0	22	0	0		
137	0	Yes	1938	2001	1	4	0	0		
138	0	Yes	1888	1981	0	66	0	2		1936
139	0	Yes	1926	2001	1	60	0	0		
140	1	Yes	1931	2001	1	13	0	0		
141	0	Yes	1885	1970	0	75	0	1		1938
142	1	Yes	1906	2001	1	141	0	0		
143	1	Yes	1955	2001	1	25	0	2		1996
144	1	Yes	1910	1984	0	11	0	0		
145	1	Yes	1901	1977	0	113	1	3	1944	1944
146	0	Yes	1944	2001	1	42	0	0		
147	1	Yes	1942	2001	1	66	0	0		
148	1	Yes	1945	2001	1	36	0	0		
149	1	No 	1942	2001	1	47	0	1		1986
150	1	Yes	1936	1973	0	23	0	1		1963
151	1	Yes	1931	1999	0	13	0	0		
152	0	Yes	1923	1988	0	57	0	1		1936
153	0	Yes	1929	2001	1	29	0	0		
154	1	Yes	1917	2001	1	39	0	0		
155	1	Yes	1950	2001	1	52	0	1		1975
156	1	Yes	1963	2001	1	20	0	1		1995
157	1	Yes	1931	2001	1	32	0	0		
158	1	Yes	1942	1972	0	14	0	1		1953
159	0	Yes	1946	2001	1	12	0	2		1996
160	0	No 	1909	1996	0	9	0	0		
161	0	No 	1944	2001	1	22	1	1	1989	1989
162	0	No 	1915	1992	0	18	0	0		
163	0	Yes	1939	2001	1	43	0	1		1975
164	1	No 	1902	1986	0	44	0	1		1939
165	1	Yes	1936	1990	0	9	0	0		
166	1	No 	1899	1972	0	107	0	1		1939
167	1	Yes	1910	1986	0	104	1	1	1949	1949
168	0	Yes	1967	2001	1	12	0	0		
169	1	Yes	1946	2001	1	63	0	1		1990
170	1	Yes	1936	2001	1	71	0	1		1978
171	1	Yes	1934	2001	1	10	0	0		
172	1	No 	1955	2001	1	33	0	0		
173	1	Yes	1915	1986	0	19	0	0		
174	1	Yes	1908	1997	0	122	0	2		1975
175	1	Yes	1909	1995	0	52	1	1	1958	1958
176	1	Yes	1913	1994	0	97	1	4	1960	1953
177	1	Yes	1936	2001	1	100	0	1		1997
178	1	Yes	1940	2001	1	58	0	1		1974
179	0	Yes	1911	1995	0	19	0	0		
180	1	Yes	1918	1994	0	166	0	0		
181	0	Yes	1946	2001	1	34	0	1		1971
182	0	Yes	1947	2001	1	29	0	1		1972
183	0	Yes	1925	2001	1	22	0	1		1958
184	1	Yes	1926	1959	0	99	0	0		
185	0	Yes	1940	2001	1	12	0	0		
186	1	No 	1912	1986	0	8	0	0		
187	0	Yes	1914	1995	0	9	0	0		
188	0	Yes	1935	2001	1	8	0	0		
189	0	Yes	1933	2001	1	30	0	0		
190	0	Yes	1923	2001	1	14	0	1		1967
191	0	Yes	1952	2001	1	64	0	1		1975
192	0	Yes	1908	1942	0	75	0	1		1936
193	0	Yes	1964	2001	1	1	0	0		
194	0	Yes	1930	2001	1	6	0	0		
195	0	Yes	1929	1983	0	48	0	1		1957
196	0	Yes	1946	2001	1	35	0	1		1970
197	0	Yes	1931	2001	1	18	0	1		1956
198	0	Yes	1901	1974	0	32	0	0		
199	1	No 	1904	1986	0	89	0	2		1937
200	0	Yes	1943	2001	1	8	0	1		1969
201	0	Yes	1918	2001	1	28	0	0		
202	0	No 	1943	2001	1	73	0	1		1992
203	0	Yes	1961	2001	1	23	0	1		1980
204	0	Yes	1923	1970	0	19	0	0		
205	1	No 	1921	1992	0	47	0	0		
206	1	No 	1891	1973	0	104	0	2		1948
207	0	Yes	1919	2001	1	39	1	3	1947	1947
208	0	No 	1908	1982	0	16	0	1		1946
209	0	No 	1897	1979	0	43	0	0		
210	0	Yes	1939	2001	1	9	0	0		
211	1	Yes	1889	1967	0	95	0	3		1943
212	1	No 	1899	1978	0	80	0	4		1937
213	1	No 	1889	1977	0	163	0	2		1928
214	1	Yes	1935	2001	1	30	0	0		
215	1	Yes	1877	1961	0	71	1	3	1943	1941
